time,users_count,finish_users_count 
0,0.4,0 
10,3.3,0.2 
20,12.2,0.1 
30,49.6,0 
40,197,9.5 
50,173.9,189.4 
60,0,81.5 
70,0,38 
80,0,5.4 
90,0,4.2 
100,0,2.3 
110,0,2 
120,0,7.3 
130,0,2 
140,0,2 
150,0,1.7 
160,0,5.9 
170,0,2.4 
180,0,2.1 
190,0,5.1 
200,0,1.7 
210,0,2.3 
220,0,1.6 
230,0,3.9 
240,0,2.1 
250,0,2.8 
260,0,3.3 
270,0,2.7 
280,0,5.1 
290,0,2.9 
300,0,3.2 
310,0,0.7 
320,0,1.5 
330,0,2.8 
340,0,2.4 
350,0,1.4 
360,0,0.4 
370,0,5 
380,0,7.1 
390,0,9.2 
400,0,6.5 
410,0,4.8 
420,0,1.9 
421,0,0 
