time,users,connected 
0,4,4 
10,35,29 
20,156,147 
30,652,599 
40,2527,1025 
50,2372,1022 
60,1557,1022 
70,1177,1022 
80,1123,1018 
90,1081,1022 
100,1058,1021 
110,1038,983 
120,965,960 
130,945,945 
140,925,925 
150,908,910 
160,849,849 
170,825,825 
180,804,804 
190,753,754 
200,736,736 
210,713,713 
220,697,697 
230,658,658 
240,637,637 
250,609,609 
260,576,579 
270,549,552 
280,498,500 
290,469,469 
300,437,438 
310,430,430 
320,415,415 
330,387,392 
340,363,363 
350,349,349 
360,345,345 
370,295,295 
380,224,228 
390,132,132 
400,67,67 
410,19,23 
420,0,0 
421,0,0 
