time,size_sent,size_rcv 
0,9.0859375,140.1140625 
10,53.55390625,754.12109375 
20,136.6078125,1192.9375 
30,303.0203125,2130.784375 
40,1097.240625,3135.33984375 
50,2981.015625,3599.35859375 
60,4831.32109375,4502.34453125 
70,6494.8234375,5967.80390625 
80,7866.8734375,6673.446875 
90,8703.8921875,7195.0671875 
100,9173.1796875,7982.42265625 
110,9440.43359375,8751.265625 
120,9640.94765625,9987.4890625 
130,9826.49765625,11504.81875 
140,10027.69375,12594.83359375 
150,10312.7125,14375.234375 
160,10455.05234375,15261.8265625 
170,10634.1609375,16652.5265625 
180,10787.31640625,18162.36796875 
190,10904.459375,19181.8421875 
200,11008.3078125,20483.61328125 
